User ID,Q1:Do you have a favorable or unfavorable view toward the new housing system on campus?,Q2:How many housing community events have you attended this fall term?,Q3:Which housing community are you in?
1,"""Somewhat unfavorable""","""None and would not like to attend""","""Allen"""
2,"""Somewhat favorable""","""One""","""Allen"""
3,"""Somewhat favorable""","""One""","""School"""
4,"""Neither favorable nor unfavorable""","""None, but would like to attend""","""East Wheelock"""
5,"""Very unfavorable""","""None and would not like to attend""","""Allen"""
6,"""Somewhat favorable""","""None, but would like to attend""","""Allen"""
7,"""Somewhat favorable""","""None, but would like to attend""","""School"""
8,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""South"""
9,"""Somewhat favorable""","""None, but would like to attend""","""School"""
10,"""Somewhat favorable""","""Two""","""Allen"""
11,"""Neither favorable nor unfavorable""","""Two""","""East Wheelock"""
12,"""Somewhat favorable""","""Two""","""School"""
13,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""South"""
14,"""Very unfavorable""","""None and would not like to attend""","""School"""
15,"""Very favorable""","""Two""","""South"""
16,"""Very unfavorable""","""One""","""Allen"""
17,"""Somewhat unfavorable""","""None, but would like to attend""","""School"""
18,"""Neither favorable nor unfavorable""","""One""","""West"""
19,"""Somewhat favorable""","""Three or more""","""Allen"""
20,"""Somewhat favorable""","""Two""","""East Wheelock"""
21,"""Neither favorable nor unfavorable""","""One""","""South"""
22,"""Somewhat favorable""","""Three or more""","""Allen"""
23,"""Neither favorable nor unfavorable""","""One""","""School"""
24,"""Neither favorable nor unfavorable""","""One""","""West"""
25,"""Somewhat unfavorable""","""None and would not like to attend""","""East Wheelock"""
26,"""Neither favorable nor unfavorable""","""Two""","""School"""
27,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""School"""
28,"""Neither favorable nor unfavorable""","""Two""","""South"""
29,"""Somewhat favorable""","""One""","""School"""
30,"""Very unfavorable""","""One""","""School"""
31,"""Neither favorable nor unfavorable""","""Three or more""","""West"""
32,"""Somewhat favorable""","""None, but would like to attend""","""East Wheelock"""
33,"""Neither favorable nor unfavorable""","""None, but would like to attend""","""East Wheelock"""
34,"""Somewhat favorable""","""One""","""School"""
35,"""Neither favorable nor unfavorable""","""None, but would like to attend""","""School"""
36,"""Somewhat favorable""","""Three or more""","""East Wheelock"""
37,"""Neither favorable nor unfavorable""","""One""","""North Park"""
38,"""Somewhat favorable""","""Two""","""Allen"""
39,"""Neither favorable nor unfavorable""","""Two""","""North Park"""
40,"""Very favorable""","""One""","""South"""
41,"""Neither favorable nor unfavorable""","""Three or more""","""Allen"""
42,"""Neither favorable nor unfavorable""","""Two""","""Allen"""
43,"""Somewhat favorable""","""Three or more""","""West"""
44,"""Somewhat unfavorable""","""One""","""School"""
45,"""Neither favorable nor unfavorable""","""One""","""School"""
46,"""Somewhat favorable""","""Three or more""","""North Park"""
47,"""Somewhat favorable""","""Three or more""","""North Park"""
48,"""Somewhat favorable""","""One""","""West"""
49,"""Somewhat favorable""","""Two""","""South"""
50,"""Neither favorable nor unfavorable""","""None, but would like to attend""","""South"""
51,"""Somewhat unfavorable""","""Two""","""East Wheelock"""
52,"""Somewhat favorable""","""Two""","""East Wheelock"""
53,"""Neither favorable nor unfavorable""","""One""","""South"""
54,"""Very favorable""","""Two""","""East Wheelock"""
55,"""Very favorable""","""Three or more""","""Allen"""
56,"""Neither favorable nor unfavorable""","""One""","""East Wheelock"""
57,"""Neither favorable nor unfavorable""","""One""","""School"""
58,"""Somewhat favorable""","""None, but would like to attend""","""South"""
59,"""Somewhat unfavorable""","""None and would not like to attend""","""South"""
60,"""Neither favorable nor unfavorable""","""One""","""West"""
61,"""Somewhat unfavorable""","""Three or more""","""Allen"""
62,"""Very favorable""","""One""","""West"""
63,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""Allen"""
64,"""Somewhat favorable""","""None, but would like to attend""","""South"""
65,"""Neither favorable nor unfavorable""","""One""","""East Wheelock"""
66,"""Very unfavorable""","""Two""","""West"""
67,"""Very favorable""","""Two""","""School"""
68,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""School"""
69,"""Neither favorable nor unfavorable""","""One""","""School"""
70,"""Very favorable""","""Two""","""School"""
71,"""Neither favorable nor unfavorable""","""One""","""West"""
72,"""Somewhat favorable""","""None and would not like to attend""","""School"""
73,"""Somewhat favorable""","""One""","""North Park"""
74,"""Somewhat favorable""","""Two""","""Allen"""
75,"""Neither favorable nor unfavorable""","""One""","""School"""
76,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""West"""
77,"""Somewhat unfavorable""","""None and would not like to attend""","""South"""
78,"""Very favorable""","""Three or more""","""East Wheelock"""
79,"""Very favorable""","""Two""","""West"""
80,"""Somewhat favorable""","""Three or more""","""School"""
81,"""Very favorable""","""One""","""East Wheelock"""
82,"""Somewhat favorable""","""Three or more""","""East Wheelock"""
83,"""Somewhat favorable""","""Two""","""East Wheelock"""
84,"""Very favorable""","""None, but would like to attend""","""South"""
85,"""Neither favorable nor unfavorable""","""One""","""West"""
86,"""Neither favorable nor unfavorable""","""Two""","""South"""
87,"""Neither favorable nor unfavorable""","""Two""","""South"""
88,"""Neither favorable nor unfavorable""","""None and would not like to attend""","""School"""
89,"""Somewhat favorable""","""Two""","""School"""
90,"""Neither favorable nor unfavorable""","""Two""","""South"""
91,"""Very favorable""","""Three or more""","""West"""
92,"""Somewhat favorable""","""One""","""West"""
93,"""Neither favorable nor unfavorable""","""Three or more""","""West"""
94,"""Somewhat favorable""","""None, but would like to attend""","""West"""
95,"""Somewhat unfavorable""","""One""","""East Wheelock"""
96,"""Somewhat unfavorable""","""None, but would like to attend""","""West"""
97,"""Very favorable""","""Three or more""","""South"""
98,"""Neither favorable nor unfavorable""","""Three or more""","""West"""
99,"""Somewhat favorable""","""Two""","""North Park"""
100,"""Somewhat unfavorable""","""One""","""South"""
