User ID,"Q1:In general, how would you describe your political views?",Q2:What percent of current Dartmouth students do you think identify as liberal?,Q3:What percent of current Dartmouth students do you think identify as conservative?,"Q4:In the past, what do you think Dartmouth's political leanings have traditionally been?"
1,"""Moderate""","""80""","""15""","""Somewhat liberal"""
2,"""Very liberal""","""60""","""40""","""Very conservative"""
3,"""Somewhat liberal""","""65""","""25""","""Moderate"""
4,"""Very liberal""","""70""","""30""","""Somewhat liberal"""
5,"""Moderate""","""60""","""15""","""Somewhat conservative"""
6,"""Very liberal""","""70""","""25""","""Somewhat conservative"""
7,"""Somewhat liberal""","""75""","""20""","""Somewhat liberal"""
8,"""Somewhat liberal""","""55""","""45""","""Very conservative"""
9,"""Very liberal""","""60""","""40""","""Somewhat conservative"""
10,"""Somewhat liberal""","""80""","""10""","""Somewhat liberal"""
11,"""Very liberal""","""55""","""35""","""Somewhat conservative"""
12,"""Very conservative""","""75""","""15""","""Very liberal"""
13,"""Very liberal""","""40""","""60""","""Somewhat conservative"""
14,"""Somewhat conservative""","""80""","""20""","""Moderate"""
15,"""Somewhat liberal""","""55""","""45""","""Somewhat conservative"""
16,"""Somewhat liberal""","""50""","""30""","""Somewhat conservative"""
17,"""Very liberal""","""65""","""35""","""Moderate"""
18,"""Somewhat liberal""","""65""","""15""","""Moderate"""
19,"""Somewhat liberal""","""75""","""25""","""Moderate"""
20,"""Somewhat liberal""","""85""","""10""","""Moderate"""
21,"""Somewhat liberal""","""70""","""15""","""Somewhat conservative"""
22,"""Somewhat liberal""","""45""","""45""","""Somewhat liberal"""
23,"""Moderate""","""80""","""20""","""Very liberal"""
24,"""Somewhat conservative""","""80""","""20""","""Very liberal"""
25,"""Very liberal""","""65""","""35""","""Somewhat conservative"""
26,"""Moderate""","""60""","""30""","""Somewhat liberal"""
27,"""Somewhat liberal""","""50""","""50""","""Somewhat conservative"""
28,"""Somewhat liberal""","""60""","""20""","""Somewhat liberal"""
29,"""Somewhat liberal""","""65""","""30""","""Somewhat liberal"""
30,"""Somewhat conservative""","""75""","""20""","""Somewhat conservative"""
31,"""Somewhat liberal""","""75""","""15""","""Somewhat liberal"""
32,"""Moderate""","""15""","""85""","""Very conservative"""
33,"""Somewhat conservative""","""70""","""20""","""Somewhat liberal"""
34,"""Very liberal""","""70""","""30""","""Somewhat conservative"""
35,"""Very liberal""","""80""","""15""","""Moderate"""
36,"""Moderate""","""65""","""35""","""Somewhat conservative"""
37,"""Moderate""","""50""","""30""","""Somewhat liberal"""
38,"""Moderate""","""25""","""60""","""Somewhat liberal"""
39,"""Very liberal""","""55""","""45""","""Somewhat liberal"""
40,"""Very liberal""","""40""","""40""","""Somewhat conservative"""
41,"""Moderate""","""75""","""20""","""Somewhat conservative"""
42,"""Very liberal""","""85""","""15""","""Somewhat liberal"""
43,"""Moderate""","""80""","""10""","""Very liberal"""
44,"""Very liberal""","""65""","""35""","""Somewhat conservative"""
45,"""Very liberal""","""60""","""20""","""Somewhat conservative"""
46,"""Somewhat liberal""","""80""","""15""","""Somewhat liberal"""
47,"""Somewhat conservative""","""70""","""15""","""Moderate"""
48,"""Somewhat liberal""","""85""","""15""","""Somewhat conservative"""
49,"""Somewhat liberal""","""65""","""25""","""Somewhat conservative"""
50,"""Somewhat liberal""","""75""","""20""","""Somewhat conservative"""
51,"""Somewhat liberal""","""75""","""10""","""Somewhat conservative"""
52,"""Moderate""","""50""","""30""","""Moderate"""
53,"""Somewhat liberal""","""70""","""30""","""Very conservative"""
54,"""Very liberal""","""25""","""25""","""Moderate"""
55,"""Very liberal""","""65""","""35""","""Somewhat liberal"""
56,"""Moderate""","""65""","""35""","""Very conservative"""
57,"""Very liberal""","""70""","""25""","""Very conservative"""
58,"""Very liberal""","""70""","""15""","""Somewhat conservative"""
59,"""Somewhat liberal""","""80""","""20""","""Somewhat conservative"""
60,"""Somewhat liberal""","""70""","""20""","""Somewhat conservative"""
61,"""Somewhat liberal""","""60""","""40""","""Somewhat liberal"""
62,"""Somewhat liberal""","""55""","""45""","""Somewhat liberal"""
63,"""Somewhat liberal""","""70""","""15""","""Somewhat liberal"""
64,"""Somewhat liberal""","""40""","""20""","""Very conservative"""
65,"""Moderate""","""65""","""35""","""Moderate"""
66,"""Very liberal""","""65""","""15""","""Somewhat conservative"""
67,"""Somewhat liberal""","""70""","""20""","""Somewhat conservative"""
68,"""Somewhat liberal""","""75""","""20""","""Somewhat liberal"""
69,"""Somewhat liberal""","""70""","""30""","""Very conservative"""
70,"""Very liberal""","""60""","""40""","""Moderate"""
71,"""Somewhat liberal""","""65""","""15""","""Somewhat liberal"""
72,"""Very liberal""","""65""","""25""","""Somewhat liberal"""
73,"""Somewhat conservative""","""70""","""10""","""Moderate"""
74,"""Somewhat liberal""","""65""","""30""","""Somewhat liberal"""
75,"""Somewhat conservative""","""60""","""40""","""Somewhat conservative"""
76,"""Somewhat liberal""","""45""","""55""","""Very conservative"""
