ID,StartDate,EndDate,Finished,gender,sexuality,white,black,native,asian,hispanic,multi,other,socialsci,natphysci,stem,artshum,otherstudy,gpa,fraternity,sorority,geninclus,nogreek,legacy,income,finanaid,athlevel,ideology,party,clinton,sanders,trump,vote,debt,loans,loansamt,ploans,ploansamt,sateduc,satintvol,satoffterm,housing,sexassault,greeklife,Phjob,admin,BLM,divest,theD,review,alcohol,drugs,sex,sleep,bema,centergreen,preslawn,tophop,stepshall,fiftyyard,stacks,sevennone,lous,ledyard,decade,challnone,homcome,wintercar,greenkey,sophsum,docfirst,gradstate,gradplans,gradwork,gradsalary,tenyears
R_3aXRWgVZCHdObu1,5/27/2016 15:30,5/27/2016 15:35,1,1,1,,,,1,,,,1,,,,,1,1,,,,2,5,2,3,3,3,2,4,5,1,2,2,,2,,2,2,4,5,5,5,5,5,5,4,4,2,5,5,2,11,,,,,,,1,,1,,,,4,3,2,1,5,32,2,4,5,13
R_dmNEQSR3GKrzHAl,5/27/2016 15:38,5/27/2016 15:41,1,1,1,1,,,,,,,,,1,,,1,1,,,,1,5,2,3,3,3,2,2,5,1,2,2,,2,,1,1,2,3,3,4,4,5,3,4,3,5,5,1,5,9,1,,,,,,,,1,1,,,5,3,2,1,4,46,2,5,6,1
R_2PALYaAgFMGxDC6,5/27/2016 15:42,5/27/2016 15:46,1,1,1,1,,,,,,,,,1,,,2,,,1,,2,6,2,2,1,1,3,1,5,1,2,2,,2,,1,1,1,5,1,2,4,5,2,1,3,5,1,1,4,9,,,,,,,1,,,,,,3,4,5,2,1,30,1,1,3,1
R_1pWnk5csxJ5UKIT,5/27/2016 15:43,5/27/2016 15:46,1,2,1,1,,,,,,,1,,,,,2,,1,,,1,4,1,3,2,1,1,3,5,1,1,1,"25,000",2,,1,1,1,1,1,3,3,5,4,4,4,4,4,1,3,8,,,,,,,,,1,,,,3,4,2,1,5,19,4,1,3,8
R_9EmRFxONyy2eJtD,5/27/2016 15:34,5/27/2016 15:47,1,1,1,1,,,,,,,1,,,,,2,1,,,,2,7,2,3,3,5,2,4,5,1,2,2,,2,,1,2,2,2,1,4,2,4,4,4,1,4,5,3,3,11,,,,,,,1,,1,,,,1,4,2,3,5,47,1,12,8,12
R_1IzMAShMWiUJ3qf,5/27/2016 15:49,5/27/2016 15:52,1,2,3,1,,,,,,,1,,,1,,2,,1,,,1,8,2,2,1,1,2,1,5,3,2,2,,2,,2,4,1,3,2,1,5,5,1,1,4,5,4,4,5,7,1,,,,,,1,,,,,,4,5,3,1,2,5,8,9,7,9
R_24cIG8tYXaARCxp,5/27/2016 15:50,5/27/2016 15:53,1,2,1,1,,,,,,,,1,,,,2,,1,,,2,3,1,4,1,2,4,1,5,3,1,1,27500,2,,2,4,4,3,2,2,4,5,2,2,4,5,4,1,4,8,,,,,,,,,1,,,,1,5,3,4,2,42,2,2,3,13
R_0Alp6RGSyUE9LZn,5/27/2016 16:14,5/27/2016 16:17,1,2,1,,,,1,,,,1,,,,,1,,1,,,2,3,1,4,2,1,2,2,5,4,1,1,,1,,2,4,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,51,4,,,
R_Y6ylmV3pG1Fz7od,5/27/2016 16:18,5/27/2016 16:21,1,2,1,1,,,,1,,,,,1,,,2,,,,1,2,5,2,4,1,1,2,1,5,1,2,2,,2,,2,2,2,5,3,3,5,5,3,1,3,3,5,2,5,7,,,,,,,,,,,,,3,4,2,5,1,32,1,14,8,8
R_7adXkG0HczAT7Qp,5/27/2016 16:21,5/27/2016 16:24,1,2,1,1,,,1,,1,1,,,,1,,1,,1,,,2,7,2,4,1,1,2,2,5,1,2,2,,2,,1,4,1,3,3,3,5,5,2,2,5,5,5,1,1,8,,,,,,,,,1,,,,3,5,4,2,1,5,2,3,5,13
R_1pnTumejwU034UG,5/27/2016 16:22,5/27/2016 16:26,1,2,1,1,,,,,,,1,,,,,1,,1,,,2,4,1,4,1,1,2,1,5,5,2,2,,2,,1,2,1,3,3,2,2,2,2,2,3,5,4,2,4,8,,,,,,,,,,,,,2,3,5,4,1,45,2,1,4,7
R_1cSQzOE8sTRniTq,5/27/2016 16:23,5/27/2016 16:28,1,3,2,1,1,,,,,,1,,,,,2,,1,,,2,1,1,1,1,4,3,2,5,3,1,1,"20,000",2,,1,2,2,3,2,2,2,4,1,1,3,5,4,2,5,9,,,,,,,,,1,,,,1,5,2,3,4,21,2,2,7,2
R_2RPMheSnnQe8GDI,5/27/2016 16:22,5/27/2016 16:28,1,2,2,1,,,,,,,,,1,,,1,,1,,,2,8,2,1,1,,2,2,5,,2,2,,2,,,,,3,2,2,3,3,1,1,4,5,4,1,5,8,,,,,,,,,,,,,3,4,5,2,1,21,2,5,7,5
