ID,race,gender,year,hookup,virginity,partners,honestparents,honestfriends,masturbate,sexacts,phoneapp,,,,,,,
1,black or african-american,woman,2017,"Oral sex ,Fingering/hand jobs ,Penetrative sex ,Kissing",21,,They know nothing,They know most of it,A few times a month,Oral Sex,No,,,,,,,
2,white,man,2017,"Oral sex ,Fingering/hand jobs ,Penetrative sex",17,,They know nothing,They know most of it,A few times a week,Oral Sex,No,,,,,,,
3,white,man,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",17,8,They know some of it,They know most of it,A few times a week,"Oral Sex ,Sent a nude photo ,Received a nude photo",Yes- once,,,,,,,
4,black or african-american,man,2017,"Oral sex ,Fingering/hand jobs ,Penetrative sex",20,6,They know nothing,They know most of it,Once a week,"Anal Sex ,Oral Sex",No,,,,,,,
5,asian,man,2017,"Oral sex ,Fingering/hand jobs ,Penetrative sex",18,1,They know nothing,They know some of it,A few times a month,"Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
6,white,transgender,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",17,5,They know some of it,They know most of it,A few times a week,Oral Sex,No,,,,,,,
7,white,woman,2017,"Oral sex ,Fingering/hand jobs",17,15,They know most of it,They know most of it,A few times a week,"Oral Sex ,Sex with multiple partners at once  ,Anal Sex",Yes- once,,,,,,,
8,white,man,2017,"Fingering/hand jobs ,Oral sex ,Penetrative sex",18,10,They know most of it,They know most of it,A few times a week,"Oral Sex ,Received a nude photo ,Anal Sex",No,,,,,,,
9,hispanic/latino,man,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",18,"10
",They know some of it,They know most of it,A few times a week,"Anal Sex ,Oral Sex ,Sent a nude photo ,Received a nude photo",Yes- a few times,,,,,,,
10,white,man,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",17,10,They know some of it,They know most of it,Once a day ,"Oral Sex ,Received a nude photo",Yes- once,,,,,,,
11,white,man,2017,Kissing,15,7,They know nothing,They know everything,>1 times a day,"Oral Sex ,Sent a nude photo ,Received a nude photo ,Sex with multiple partners at once ",No,,,,,,,
12,asian,man,2018,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",19,3,They know nothing,They know some of it,A few times a week,Oral Sex,No,,,,,,,
13,asian,woman,2018,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",19,1,They know nothing,They know most of it,Never,Oral Sex,No,,,,,,,
14,white,man,2017,Kissing,17,20,They know some of it,They know some of it,A few times a week,"Anal Sex ,Oral Sex ,Sent a nude photo ,Received a nude photo",Yes- a few times,,,,,,,
15,white,man,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",18,2,They know nothing,They know some of it,A few times a week,"Anal Sex ,Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
16,white,woman,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",17,17,They know nothing,They know most of it,Never,Oral Sex,No,,,,,,,
17,two or more races,woman,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",19,3,They know nothing,They know most of it,A few times a year,"Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
18,other,woman,2018,Fingering/hand jobs,15,12,They know most of it,They know most of it,Once a day ,"Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
19,hispanic/latino,man,2018,"Penetrative sex ,Fingering/hand jobs ,Oral sex ,Kissing",18,5,They know most of it,They know some of it,Once a week,Oral Sex,No,,,,,,,
20,hispanic/latino,woman,2017,Kissing,18,3,They know some of it,They know some of it,A few times a year,Oral Sex,No,,,,,,,
21,white,woman,2017,"Oral sex ,Fingering/hand jobs ,Penetrative sex",17,20,They know some of it,They know most of it,Once a week,"Anal Sex ,Oral Sex ,Sent a nude photo ,Received a nude photo",Yes- a few times,,,,,,,
22,white,woman,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",16,15,They know nothing,They know everything,A few times a month,"Anal Sex ,Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
23,white,man,2018,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",20,1,They know nothing,They know most of it,Once a day ,Oral Sex,No,,,,,,,
24,asian,woman,2017,Penetrative sex,19,3,They know most of it,They know everything,A few times a week,Oral Sex,Yes- once,,,,,,,
25,asian,woman,2018,"Oral sex ,Penetrative sex",22 and over,1,They know nothing,They know nothing,A few times a month,Oral Sex,No,,,,,,,
26,two or more races,woman,2019,"Penetrative sex ,Fingering/hand jobs ,Oral sex",18,2,They know some of it,They know most of it,A few times a year,"Oral Sex ,Sent a nude photo",No,,,,,,,
27,white,woman,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",18,1,They know most of it,They know everything,A few times a month,"Oral Sex ,Sent a nude photo ,Received a nude photo",No,,,,,,,
28,white,woman,2017,"Fingering/hand jobs ,Oral sex",I have never had sex,4,They know some of it,They know most of it,A few times a year,Oral Sex,No,,,,,,,
29,white,woman,2017,"Kissing ,Oral sex ,Fingering/hand jobs ,Penetrative sex",19,3,They know some of it,They know most of it,A few times a month,"Oral Sex ,Sent a nude photo",No,,,,,,,
